rl	V(v2s)	I(Rl)
2.431000000000008e+01	5.014216e+00	2.062615e-01
2.441000000000008e+01	5.014216e+00	2.054165e-01
2.451000000000008e+01	5.014217e+00	2.045784e-01
2.461000000000008e+01	5.014217e+00	2.037471e-01
2.471000000000009e+01	5.014218e+00	2.029226e-01
2.481000000000009e+01	5.014218e+00	2.021047e-01
2.491000000000009e+01	5.014218e+00	2.012934e-01
2.501000000000009e+01	5.014219e+00	2.004886e-01
2.511000000000009e+01	5.014219e+00	1.996901e-01
2.521000000000009e+01	5.014220e+00	1.988980e-01
2.531000000000009e+01	5.014220e+00	1.981122e-01
2.541000000000010e+01	5.014221e+00	1.973326e-01
2.551000000000010e+01	5.014221e+00	1.965590e-01
2.561000000000010e+01	5.014221e+00	1.957915e-01
2.571000000000010e+01	5.014222e+00	1.950300e-01
2.581000000000010e+01	5.014222e+00	1.942744e-01
2.591000000000010e+01	5.014223e+00	1.935246e-01
2.601000000000010e+01	5.014223e+00	1.927806e-01
2.611000000000011e+01	5.014224e+00	1.920423e-01
2.621000000000011e+01	5.014224e+00	1.913096e-01
2.631000000000011e+01	5.014224e+00	1.905824e-01
2.641000000000011e+01	5.014225e+00	1.898608e-01
2.651000000000011e+01	5.014225e+00	1.891447e-01
2.661000000000011e+01	5.014225e+00	1.884339e-01
2.671000000000011e+01	5.014225e+00	1.877284e-01
2.681000000000012e+01	5.014226e+00	1.870282e-01
2.691000000000012e+01	5.014226e+00	1.863332e-01
2.701000000000012e+01	5.014227e+00	1.856433e-01
2.711000000000012e+01	5.014227e+00	1.849586e-01
2.721000000000012e+01	5.014227e+00	1.842788e-01
2.731000000000012e+01	5.014228e+00	1.836041e-01
2.741000000000012e+01	5.014228e+00	1.829343e-01
2.751000000000013e+01	5.014229e+00	1.822693e-01
2.761000000000013e+01	5.014229e+00	1.816092e-01
2.771000000000013e+01	5.014229e+00	1.809538e-01
2.781000000000013e+01	5.014230e+00	1.803031e-01
2.791000000000013e+01	5.014230e+00	1.796571e-01
2.801000000000013e+01	5.014230e+00	1.790157e-01
2.811000000000013e+01	5.014231e+00	1.783789e-01
2.821000000000014e+01	5.014231e+00	1.777466e-01
2.831000000000014e+01	5.014231e+00	1.771187e-01
2.841000000000014e+01	5.014232e+00	1.764953e-01
2.851000000000014e+01	5.014232e+00	1.758763e-01
2.861000000000014e+01	5.014233e+00	1.752615e-01
2.871000000000014e+01	5.014233e+00	1.746511e-01
2.881000000000014e+01	5.014233e+00	1.740449e-01
2.891000000000015e+01	5.014234e+00	1.734429e-01
2.901000000000015e+01	5.014234e+00	1.728450e-01
2.911000000000015e+01	5.014234e+00	1.722513e-01
2.921000000000015e+01	5.014235e+00	1.716616e-01
2.931000000000015e+01	5.014235e+00	1.710759e-01
2.941000000000015e+01	5.014235e+00	1.704942e-01
2.951000000000015e+01	5.014235e+00	1.699165e-01
2.961000000000016e+01	5.014236e+00	1.693427e-01
2.971000000000016e+01	5.014236e+00	1.687727e-01
2.981000000000016e+01	5.014236e+00	1.682065e-01
2.991000000000016e+01	5.014237e+00	1.676442e-01
3.001000000000016e+01	5.014237e+00	1.670855e-01
3.011000000000016e+01	5.014237e+00	1.665306e-01
3.021000000000016e+01	5.014238e+00	1.659794e-01
3.031000000000017e+01	5.014238e+00	1.654318e-01
3.041000000000017e+01	5.014238e+00	1.648878e-01
3.051000000000017e+01	5.014239e+00	1.643474e-01
3.061000000000017e+01	5.014239e+00	1.638105e-01
3.071000000000017e+01	5.014239e+00	1.632771e-01
3.081000000000017e+01	5.014239e+00	1.627471e-01
3.091000000000017e+01	5.014240e+00	1.622206e-01
3.101000000000018e+01	5.014240e+00	1.616975e-01
3.111000000000018e+01	5.014240e+00	1.611778e-01
3.121000000000018e+01	5.014241e+00	1.606614e-01
3.131000000000018e+01	5.014241e+00	1.601482e-01
3.141000000000018e+01	5.014241e+00	1.596384e-01
3.151000000000018e+01	5.014242e+00	1.591318e-01
3.161000000000018e+01	5.014242e+00	1.586283e-01
3.171000000000019e+01	5.014242e+00	1.581281e-01
3.181000000000019e+01	5.014243e+00	1.576310e-01
3.191000000000019e+01	5.014243e+00	1.571370e-01
3.201000000000019e+01	5.014243e+00	1.566461e-01
3.211000000000019e+01	5.014244e+00	1.561583e-01
3.221000000000019e+01	5.014244e+00	1.556735e-01
3.231000000000019e+01	5.014244e+00	1.551917e-01
3.241000000000020e+01	5.014244e+00	1.547129e-01
3.251000000000020e+01	5.014245e+00	1.542370e-01
3.261000000000020e+01	5.014245e+00	1.537640e-01
3.271000000000020e+01	5.014245e+00	1.532940e-01
3.281000000000020e+01	5.014246e+00	1.528267e-01
3.291000000000020e+01	5.014246e+00	1.523624e-01
3.301000000000020e+01	5.014246e+00	1.519008e-01
3.311000000000021e+01	5.014246e+00	1.514421e-01
3.321000000000021e+01	5.014246e+00	1.509860e-01
3.331000000000021e+01	5.014247e+00	1.505328e-01
3.341000000000021e+01	5.014247e+00	1.500822e-01
3.351000000000021e+01	5.014247e+00	1.496344e-01
3.361000000000021e+01	5.014247e+00	1.491892e-01
3.371000000000021e+01	5.014248e+00	1.487466e-01
3.381000000000022e+01	5.014248e+00	1.483067e-01
3.391000000000022e+01	5.014248e+00	1.478693e-01
3.401000000000022e+01	5.014248e+00	1.474345e-01
3.411000000000022e+01	5.014249e+00	1.470023e-01
3.421000000000022e+01	5.014249e+00	1.465726e-01
3.431000000000022e+01	5.014249e+00	1.461454e-01
3.441000000000022e+01	5.014250e+00	1.457207e-01
3.451000000000023e+01	5.014250e+00	1.452985e-01
3.461000000000023e+01	5.014250e+00	1.448787e-01
3.471000000000023e+01	5.014250e+00	1.444613e-01
3.481000000000023e+01	5.014251e+00	1.440463e-01
3.491000000000023e+01	5.014251e+00	1.436336e-01
3.501000000000023e+01	5.014251e+00	1.432234e-01
3.511000000000023e+01	5.014251e+00	1.428155e-01
3.521000000000024e+01	5.014252e+00	1.424099e-01
3.531000000000024e+01	5.014252e+00	1.420066e-01
3.541000000000024e+01	5.014252e+00	1.416055e-01
3.551000000000024e+01	5.014252e+00	1.412068e-01
3.561000000000024e+01	5.014253e+00	1.408102e-01
3.571000000000024e+01	5.014253e+00	1.404159e-01
3.581000000000024e+01	5.014253e+00	1.400238e-01
3.591000000000025e+01	5.014253e+00	1.396339e-01
3.601000000000025e+01	5.014254e+00	1.392461e-01
3.611000000000025e+01	5.014254e+00	1.388605e-01
3.621000000000025e+01	5.014254e+00	1.384771e-01
3.631000000000025e+01	5.014254e+00	1.380957e-01
3.641000000000025e+01	5.014255e+00	1.377164e-01
3.651000000000025e+01	5.014255e+00	1.373392e-01
3.661000000000026e+01	5.014255e+00	1.369641e-01
3.671000000000026e+01	5.014255e+00	1.365910e-01
3.681000000000026e+01	5.014256e+00	1.362199e-01
3.691000000000026e+01	5.014256e+00	1.358509e-01
3.701000000000026e+01	5.014256e+00	1.354838e-01
3.711000000000026e+01	5.014256e+00	1.351187e-01
3.721000000000026e+01	5.014256e+00	1.347556e-01
3.731000000000027e+01	5.014256e+00	1.343944e-01
3.741000000000027e+01	5.014257e+00	1.340352e-01
3.751000000000027e+01	5.014257e+00	1.336779e-01
3.761000000000027e+01	5.014257e+00	1.333224e-01
3.771000000000027e+01	5.014257e+00	1.329689e-01
3.781000000000027e+01	5.014258e+00	1.326172e-01
3.791000000000027e+01	5.014258e+00	1.322674e-01
3.801000000000028e+01	5.014258e+00	1.319194e-01
3.811000000000028e+01	5.014258e+00	1.315733e-01
3.821000000000028e+01	5.014259e+00	1.312290e-01
3.831000000000028e+01	5.014259e+00	1.308864e-01
3.841000000000028e+01	5.014259e+00	1.305457e-01
3.851000000000028e+01	5.014259e+00	1.302067e-01
3.861000000000028e+01	5.014259e+00	1.298694e-01
3.871000000000029e+01	5.014260e+00	1.295340e-01
3.881000000000029e+01	5.014260e+00	1.292002e-01
3.891000000000029e+01	5.014260e+00	1.288682e-01
3.901000000000029e+01	5.014260e+00	1.285378e-01
3.911000000000029e+01	5.014261e+00	1.282092e-01
3.921000000000029e+01	5.014261e+00	1.278822e-01
3.931000000000029e+01	5.014261e+00	1.275569e-01
3.941000000000030e+01	5.014261e+00	1.272332e-01
3.951000000000030e+01	5.014261e+00	1.269112e-01
3.961000000000030e+01	5.014262e+00	1.265908e-01
3.971000000000030e+01	5.014262e+00	1.262720e-01
3.981000000000030e+01	5.014262e+00	1.259548e-01
3.991000000000030e+01	5.014262e+00	1.256392e-01
4.001000000000030e+01	5.014263e+00	1.253252e-01
