vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.347300000000093e+00	7.567254e+01
6.347600000000093e+00	7.566884e+01
6.347900000000093e+00	7.566512e+01
6.348200000000094e+00	7.566142e+01
6.348500000000094e+00	7.565771e+01
6.348800000000094e+00	7.565399e+01
6.349100000000094e+00	7.565030e+01
6.349400000000094e+00	7.564658e+01
6.349700000000094e+00	7.564288e+01
6.350000000000095e+00	7.563917e+01
6.350300000000095e+00	7.563546e+01
6.350600000000095e+00	7.563177e+01
6.350900000000095e+00	7.562805e+01
6.351200000000095e+00	7.562435e+01
6.351500000000096e+00	7.562064e+01
6.351800000000096e+00	7.561694e+01
6.352100000000096e+00	7.561323e+01
6.352400000000096e+00	7.560954e+01
6.352700000000096e+00	7.560583e+01
6.353000000000097e+00	7.560212e+01
6.353300000000097e+00	7.559842e+01
6.353600000000097e+00	7.559471e+01
6.353900000000097e+00	7.559102e+01
6.354200000000097e+00	7.558732e+01
6.354500000000098e+00	7.558362e+01
6.354800000000098e+00	7.557991e+01
6.355100000000098e+00	7.557621e+01
6.355400000000098e+00	7.557251e+01
6.355700000000098e+00	7.556881e+01
6.356000000000098e+00	7.556512e+01
6.356300000000099e+00	7.556141e+01
6.356600000000099e+00	7.555771e+01
6.356900000000099e+00	7.555401e+01
6.357200000000099e+00	7.555032e+01
6.357500000000099e+00	7.554662e+01
6.357800000000100e+00	7.554292e+01
6.358100000000100e+00	7.553923e+01
6.358400000000100e+00	7.553552e+01
6.358700000000100e+00	7.553182e+01
6.359000000000100e+00	7.552813e+01
6.359300000000101e+00	7.552444e+01
6.359600000000101e+00	7.552075e+01
6.359900000000101e+00	7.551705e+01
6.360200000000101e+00	7.551335e+01
6.360500000000101e+00	7.550966e+01
6.360800000000101e+00	7.550596e+01
6.361100000000102e+00	7.550227e+01
6.361400000000102e+00	7.549858e+01
6.361700000000102e+00	7.549489e+01
6.362000000000102e+00	7.549119e+01
6.362300000000102e+00	7.548751e+01
6.362600000000103e+00	7.548381e+01
6.362900000000103e+00	7.548011e+01
6.363200000000103e+00	7.547642e+01
6.363500000000103e+00	7.547273e+01
6.363800000000103e+00	7.546905e+01
6.364100000000104e+00	7.546536e+01
6.364400000000104e+00	7.546166e+01
6.364700000000104e+00	7.545797e+01
6.365000000000104e+00	7.545428e+01
6.365300000000104e+00	7.545059e+01
6.365600000000105e+00	7.544691e+01
6.365900000000105e+00	7.544323e+01
6.366200000000105e+00	7.543953e+01
6.366500000000105e+00	7.543584e+01
6.366800000000105e+00	7.543216e+01
6.367100000000105e+00	7.542847e+01
6.367400000000106e+00	7.542478e+01
6.367700000000106e+00	7.542110e+01
6.368000000000106e+00	7.541742e+01
6.368300000000106e+00	7.541373e+01
6.368600000000106e+00	7.541004e+01
6.368900000000107e+00	7.540636e+01
6.369200000000107e+00	7.540267e+01
6.369500000000107e+00	7.539899e+01
6.369800000000107e+00	7.539530e+01
6.370100000000107e+00	7.539162e+01
6.370400000000108e+00	7.538795e+01
6.370700000000108e+00	7.538426e+01
6.371000000000108e+00	7.538058e+01
