rl	V(v2s)	I(Rl)
2.391000000000007e+01	3.318052e+00	1.387726e-01
2.401000000000008e+01	3.318052e+00	1.381946e-01
2.411000000000008e+01	3.318052e+00	1.376214e-01
2.421000000000008e+01	3.318053e+00	1.370530e-01
2.431000000000008e+01	3.318053e+00	1.364892e-01
2.441000000000008e+01	3.318053e+00	1.359301e-01
2.451000000000008e+01	3.318053e+00	1.353755e-01
2.461000000000008e+01	3.318053e+00	1.348254e-01
2.471000000000009e+01	3.318054e+00	1.342798e-01
2.481000000000009e+01	3.318054e+00	1.337386e-01
2.491000000000009e+01	3.318054e+00	1.332017e-01
2.501000000000009e+01	3.318054e+00	1.326691e-01
2.511000000000009e+01	3.318055e+00	1.321408e-01
2.521000000000009e+01	3.318055e+00	1.316166e-01
2.531000000000009e+01	3.318055e+00	1.310966e-01
2.541000000000010e+01	3.318055e+00	1.305807e-01
2.551000000000010e+01	3.318055e+00	1.300688e-01
2.561000000000010e+01	3.318056e+00	1.295609e-01
2.571000000000010e+01	3.318056e+00	1.290570e-01
2.581000000000010e+01	3.318056e+00	1.285570e-01
2.591000000000010e+01	3.318056e+00	1.280608e-01
2.601000000000010e+01	3.318057e+00	1.275685e-01
2.611000000000011e+01	3.318057e+00	1.270799e-01
2.621000000000011e+01	3.318057e+00	1.265951e-01
2.631000000000011e+01	3.318057e+00	1.261139e-01
2.641000000000011e+01	3.318057e+00	1.256364e-01
2.651000000000011e+01	3.318058e+00	1.251625e-01
2.661000000000011e+01	3.318058e+00	1.246921e-01
2.671000000000011e+01	3.318058e+00	1.242253e-01
2.681000000000012e+01	3.318058e+00	1.237620e-01
2.691000000000012e+01	3.318058e+00	1.233021e-01
2.701000000000012e+01	3.318058e+00	1.228456e-01
2.711000000000012e+01	3.318059e+00	1.223924e-01
2.721000000000012e+01	3.318059e+00	1.219426e-01
2.731000000000012e+01	3.318059e+00	1.214961e-01
2.741000000000012e+01	3.318059e+00	1.210529e-01
2.751000000000013e+01	3.318060e+00	1.206129e-01
2.761000000000013e+01	3.318060e+00	1.201760e-01
2.771000000000013e+01	3.318060e+00	1.197423e-01
2.781000000000013e+01	3.318060e+00	1.193118e-01
2.791000000000013e+01	3.318060e+00	1.188843e-01
2.801000000000013e+01	3.318061e+00	1.184599e-01
2.811000000000013e+01	3.318061e+00	1.180384e-01
2.821000000000014e+01	3.318061e+00	1.176200e-01
2.831000000000014e+01	3.318061e+00	1.172046e-01
2.841000000000014e+01	3.318061e+00	1.167920e-01
2.851000000000014e+01	3.318062e+00	1.163824e-01
2.861000000000014e+01	3.318062e+00	1.159756e-01
2.871000000000014e+01	3.318062e+00	1.155716e-01
2.881000000000014e+01	3.318062e+00	1.151705e-01
2.891000000000015e+01	3.318062e+00	1.147721e-01
2.901000000000015e+01	3.318062e+00	1.143765e-01
2.911000000000015e+01	3.318063e+00	1.139836e-01
2.921000000000015e+01	3.318063e+00	1.135934e-01
2.931000000000015e+01	3.318063e+00	1.132058e-01
2.941000000000015e+01	3.318063e+00	1.128209e-01
2.951000000000015e+01	3.318063e+00	1.124386e-01
2.961000000000016e+01	3.318063e+00	1.120589e-01
2.971000000000016e+01	3.318064e+00	1.116817e-01
2.981000000000016e+01	3.318064e+00	1.113071e-01
2.991000000000016e+01	3.318064e+00	1.109349e-01
3.001000000000016e+01	3.318064e+00	1.105653e-01
3.011000000000016e+01	3.318064e+00	1.101981e-01
3.021000000000016e+01	3.318064e+00	1.098333e-01
3.031000000000017e+01	3.318065e+00	1.094710e-01
3.041000000000017e+01	3.318065e+00	1.091110e-01
3.051000000000017e+01	3.318065e+00	1.087534e-01
3.061000000000017e+01	3.318065e+00	1.083981e-01
3.071000000000017e+01	3.318065e+00	1.080451e-01
3.081000000000017e+01	3.318065e+00	1.076944e-01
3.091000000000017e+01	3.318066e+00	1.073460e-01
3.101000000000018e+01	3.318066e+00	1.069999e-01
3.111000000000018e+01	3.318066e+00	1.066559e-01
3.121000000000018e+01	3.318066e+00	1.063142e-01
3.131000000000018e+01	3.318066e+00	1.059747e-01
3.141000000000018e+01	3.318066e+00	1.056373e-01
3.151000000000018e+01	3.318067e+00	1.053020e-01
3.161000000000018e+01	3.318067e+00	1.049689e-01
3.171000000000019e+01	3.318067e+00	1.046379e-01
3.181000000000019e+01	3.318067e+00	1.043089e-01
3.191000000000019e+01	3.318067e+00	1.039821e-01
3.201000000000019e+01	3.318067e+00	1.036572e-01
3.211000000000019e+01	3.318068e+00	1.033344e-01
3.221000000000019e+01	3.318068e+00	1.030136e-01
3.231000000000019e+01	3.318068e+00	1.026948e-01
3.241000000000020e+01	3.318068e+00	1.023779e-01
3.251000000000020e+01	3.318068e+00	1.020630e-01
3.261000000000020e+01	3.318068e+00	1.017500e-01
