vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.302300000000065e+00	4.959988e+01
6.302600000000065e+00	4.959739e+01
6.302900000000065e+00	4.959490e+01
6.303200000000065e+00	4.959241e+01
6.303500000000065e+00	4.958992e+01
6.303800000000066e+00	4.958743e+01
6.304100000000066e+00	4.958494e+01
6.304400000000066e+00	4.958245e+01
6.304700000000066e+00	4.957996e+01
6.305000000000066e+00	4.957747e+01
6.305300000000067e+00	4.957498e+01
6.305600000000067e+00	4.957249e+01
6.305900000000067e+00	4.957001e+01
6.306200000000067e+00	4.956752e+01
6.306500000000067e+00	4.956503e+01
6.306800000000067e+00	4.956254e+01
6.307100000000068e+00	4.956006e+01
6.307400000000068e+00	4.955757e+01
6.307700000000068e+00	4.955508e+01
6.308000000000068e+00	4.955259e+01
6.308300000000068e+00	4.955011e+01
6.308600000000069e+00	4.954762e+01
6.308900000000069e+00	4.954513e+01
6.309200000000069e+00	4.954265e+01
6.309500000000069e+00	4.954017e+01
6.309800000000069e+00	4.953768e+01
6.310100000000070e+00	4.953519e+01
6.310400000000070e+00	4.953271e+01
6.310700000000070e+00	4.953022e+01
6.311000000000070e+00	4.952774e+01
6.311300000000070e+00	4.952526e+01
6.311600000000070e+00	4.952277e+01
6.311900000000071e+00	4.952029e+01
6.312200000000071e+00	4.951781e+01
6.312500000000071e+00	4.951532e+01
6.312800000000071e+00	4.951284e+01
6.313100000000071e+00	4.951036e+01
6.313400000000072e+00	4.950788e+01
6.313700000000072e+00	4.950539e+01
6.314000000000072e+00	4.950292e+01
6.314300000000072e+00	4.950043e+01
6.314600000000072e+00	4.949795e+01
6.314900000000073e+00	4.949547e+01
6.315200000000073e+00	4.949299e+01
6.315500000000073e+00	4.949051e+01
6.315800000000073e+00	4.948803e+01
6.316100000000073e+00	4.948554e+01
6.316400000000074e+00	4.948307e+01
6.316700000000074e+00	4.948059e+01
6.317000000000074e+00	4.947811e+01
6.317300000000074e+00	4.947563e+01
6.317600000000074e+00	4.947315e+01
6.317900000000074e+00	4.947066e+01
6.318200000000075e+00	4.946819e+01
6.318500000000075e+00	4.946571e+01
6.318800000000075e+00	4.946324e+01
6.319100000000075e+00	4.946076e+01
6.319400000000075e+00	4.945828e+01
6.319700000000076e+00	4.945580e+01
6.320000000000076e+00	4.945332e+01
6.320300000000076e+00	4.945084e+01
6.320600000000076e+00	4.944837e+01
6.320900000000076e+00	4.944589e+01
6.321200000000077e+00	4.944342e+01
6.321500000000077e+00	4.944095e+01
6.321800000000077e+00	4.943847e+01
6.322100000000077e+00	4.943599e+01
6.322400000000077e+00	4.943351e+01
6.322700000000077e+00	4.943104e+01
6.323000000000078e+00	4.942856e+01
6.323300000000078e+00	4.942609e+01
6.323600000000078e+00	4.942362e+01
6.323900000000078e+00	4.942114e+01
6.324200000000078e+00	4.941867e+01
6.324500000000079e+00	4.941620e+01
6.324800000000079e+00	4.941372e+01
6.325100000000079e+00	4.941125e+01
6.325400000000079e+00	4.940877e+01
6.325700000000079e+00	4.940630e+01
6.326000000000080e+00	4.940383e+01
6.326300000000080e+00	4.940136e+01
6.326600000000080e+00	4.939888e+01
6.326900000000080e+00	4.939641e+01
6.327200000000080e+00	4.939394e+01
6.327500000000081e+00	4.939147e+01
6.327800000000081e+00	4.938900e+01
6.328100000000081e+00	4.938653e+01
6.328400000000081e+00	4.938406e+01
6.328700000000081e+00	4.938159e+01
6.329000000000081e+00	4.937912e+01
6.329300000000082e+00	4.937665e+01
6.329600000000082e+00	4.937418e+01
6.329900000000082e+00	4.937171e+01
6.330200000000082e+00	4.936924e+01
6.330500000000082e+00	4.936677e+01
6.330800000000083e+00	4.936430e+01
6.331100000000083e+00	4.936183e+01
6.331400000000083e+00	4.935937e+01
6.331700000000083e+00	4.935690e+01
6.332000000000083e+00	4.935443e+01
6.332300000000084e+00	4.935196e+01
6.332600000000084e+00	4.934949e+01
6.332900000000084e+00	4.934702e+01
