time	V(v2s)
Step Information: Cl=1µ  (Step: 1/9)
7.000583215845511e-03	5.014071e+00
7.001018117221177e-03	5.013950e+00
7.001575586130881e-03	5.013907e+00
7.002282075204836e-03	5.013900e+00
7.002966413329955e-03	5.013900e+00
7.003966413329955e-03	5.013900e+00
7.004966413329955e-03	5.013900e+00
7.005966413329955e-03	5.013900e+00
7.016966413329957e-03	5.013900e+00
7.744966413330053e-03	5.013900e+00
7.997966413329926e-03	5.013900e+00
7.999000000000001e-03	5.013900e+00
7.999201520020453e-03	5.013900e+00
7.999470213381056e-03	5.013900e+00
7.999471213381055e-03	5.013900e+00
7.999473213381056e-03	5.013900e+00
7.999477213381056e-03	5.013900e+00
7.999485213381055e-03	5.013900e+00
7.999501213381055e-03	5.013900e+00
7.999533213381056e-03	5.013900e+00
7.999725213381055e-03	5.013900e+00
7.999781573237889e-03	5.013900e+00
7.999856719713667e-03	5.013900e+00
7.999857719713666e-03	5.013900e+00
7.999859719713667e-03	5.013900e+00
7.999863719713667e-03	5.013900e+00
7.999871719713666e-03	5.013900e+00
7.999887719713666e-03	5.013900e+00
7.999936000000001e-03	5.013900e+00
7.999968560572670e-03	5.013900e+00
7.999969560572669e-03	5.013900e+00
7.999971560572670e-03	5.013900e+00
7.999975560572669e-03	5.013900e+00
7.999983560572669e-03	5.013900e+00
7.999984000000000e-03	5.013900e+00
7.999984878854663e-03	5.013900e+00
7.999986636563988e-03	5.013900e+00
7.999990151982639e-03	5.013900e+00
7.999992969162699e-03	5.013900e+00
7.999994365639879e-03	5.013900e+00
7.999997158594240e-03	5.013900e+00
7.999998158594240e-03	5.013900e+00
7.999999000000001e-03	5.013900e+00
8.000000000000000e-03	5.013900e+00
8.000000100000000e-03	5.013906e+00
8.000000299999999e-03	5.013910e+00
8.000000600000000e-03	5.013911e+00
8.000001000000000e-03	5.013915e+00
8.000001039999999e-03	5.013910e+00
8.000001119999999e-03	5.013907e+00
8.000001279999999e-03	5.013909e+00
8.000001599999999e-03	5.013915e+00
8.000002240000000e-03	5.013926e+00
8.000003520000000e-03	5.013952e+00
8.000006080000000e-03	5.014010e+00
8.000011200000002e-03	5.014139e+00
8.000021440000006e-03	5.014386e+00
8.000035967551136e-03	5.014666e+00
